Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,VA0290,,M Koltjärn Baselayer Pant,Thyme Green,001,1224.00,S,03,7340119386781,,8,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Thyme Green,001,2295.00,M,04,7340119386798,,15,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Thyme Green,001,4590.00,L,05,7340119386804,,30,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Thyme Green,001,1071.00,XL,06,7340119386811,,7,153,
VARG,VA0290,,M Koltjärn Baselayer Pant,Thyme Green,001,0.00,XXL,07,7340119386828,,0,#DIV/0!,
VARG,VA0289,,M Koltjärn Baselayer Top,Ink Blue,003,5280.00,S,03,7340119386934,,33,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Ink Blue,003,10560.00,M,04,7340119386941,,66,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Ink Blue,003,12960.00,L,05,7340119386958,,81,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Ink Blue,003,5760.00,XL,06,7340119386965,,36,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Ink Blue,003,320.00,XXL,07,7340119386972,,2,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Java Brown,004,0.00,S,03,7333560000542,,0,#DIV/0!,
VARG,VA0289,,M Koltjärn Baselayer Top,Java Brown,004,0.00,M,04,7333560000559,,0,#DIV/0!,
VARG,VA0289,,M Koltjärn Baselayer Top,Java Brown,004,0.00,L,05,7333560000566,,0,#DIV/0!,
VARG,VA0289,,M Koltjärn Baselayer Top,Java Brown,004,0.00,XL,06,7333560000573,,0,#DIV/0!,
VARG,VA0289,,M Koltjärn Baselayer Top,Java Brown,004,0.00,XXL,07,7333560000580,,0,#DIV/0!,
VARG,VA0289,,M Koltjärn Baselayer Top,Thyme Green,001,1440.00,S,03,7340119386880,,9,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Thyme Green,001,3360.00,M,04,7340119386897,,21,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Thyme Green,001,4480.00,L,05,7340119386903,,28,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Thyme Green,001,1600.00,XL,06,7340119386910,,10,160,
VARG,VA0289,,M Koltjärn Baselayer Top,Thyme Green,001,0.00,XXL,07,7340119386927,,0,#DIV/0!,
VARG,AW6-M,AW23,M Åstol Baselayer Full Zip,Dark Grey,-DKA,1017.60,S,-3,7340119362013,,3,339.2,
VARG,AW6-M,AW23,M Åstol Baselayer Full Zip,Dark Grey,-DKA,0.00,M,-4,7340119362020,,0,#DIV/0!,
VARG,AW6-M,AW23,M Åstol Baselayer Full Zip,Dark Grey,-DKA,0.00,L,-5,7340119362037,,0,#DIV/0!,
VARG,AW6-M,AW23,M Åstol Baselayer Full Zip,Dark Grey,-DKA,0.00,XL,-6,7340119362044,,0,#DIV/0!,
VARG,FW20-SP67-M,AW22,M Åstol Baselayer Pant,Midnight Blue,-MIDB,2550.00,S,-3,7340119340097,,15,170,
VARG,FW20-SP67-M,AW22,M Åstol Baselayer Pant,Midnight Blue,-MIDB,0.00,M,-4,7340119340103,,0,#DIV/0!,
VARG,FW20-SP67-M,AW22,M Åstol Baselayer Pant,Midnight Blue,-MIDB,0.00,L,-5,7340119340110,,0,#DIV/0!,
VARG,FW20-SP67-M,AW22,M Åstol Baselayer Pant,Midnight Blue,-MIDB,0.00,XL,-6,7340119340127,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Blueberry Blue,-BB,11526.00,S,-3,7340119344026,,17,678,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Blueberry Blue,-BB,0.00,M,-4,7340119344033,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Blueberry Blue,-BB,0.00,L,-5,7340119344040,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Blueberry Blue,-BB,0.00,XL,-6,7340119344057,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Carbon Black,-CB,0.00,S,-3,7340119356579,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Carbon Black,-CB,0.00,M,-4,7340119356586,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Carbon Black,-CB,0.00,L,-5,7340119356593,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,Carbon Black,-CB,0.00,XL,-6,7340119356609,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,FIR GREEN,-FIRG,0.00,S,-3,,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,FIR GREEN,-FIRG,0.00,M,-4,,,0,#DIV/0!,
VARG,AW2-M,AW22,M Älgön Down Hood Anorak Jacket,FIR GREEN,-FIRG,0.00,XL,-6,,,0,#DIV/0!,
